target,input_variable,spearman_correlation,absolute_rank,interpretation
agi,agent_time_horizon_doubling_months,0.5504866599394669,1,Higher `agent_time_horizon_doubling_months` is associated with later agi in this simulation.
agi,effective_compute_growth_x_per_year,-0.39617857354700864,2,Higher `effective_compute_growth_x_per_year` is associated with earlier agi in this simulation.
agi,algorithmic_efficiency_x_per_year,-0.3423896385387479,3,Higher `algorithmic_efficiency_x_per_year` is associated with earlier agi in this simulation.
agi,current_agent_task_horizon_hours,-0.3004446835794824,4,Higher `current_agent_task_horizon_hours` is associated with earlier agi in this simulation.
agi,coding_automation_threshold_human_hours,0.20860106365992406,5,Higher `coding_automation_threshold_human_hours` is associated with later agi in this simulation.
agi,agi_integration_lag_months,0.17961793423924122,6,Higher `agi_integration_lag_months` is associated with later agi in this simulation.
agi,compute_governance_friction_months,0.11871854927541538,7,Higher `compute_governance_friction_months` is associated with later agi in this simulation.
agi,general_capability_lag_after_coding_months,0.11050861993546662,8,Higher `general_capability_lag_after_coding_months` is associated with later agi in this simulation.
agi,infrastructure_friction_months,0.007589331602928644,9,Higher `infrastructure_friction_months` is associated with later agi in this simulation.
agi,phase_overlap_coefficient,-0.004073184143058097,10,Higher `phase_overlap_coefficient` is associated with earlier agi in this simulation.
agi,superhuman_ai_researcher_lag_months,-0.0026803341888120345,11,Higher `superhuman_ai_researcher_lag_months` is associated with earlier agi in this simulation.
agi,ai_rnd_automation_lag_after_agi_months,0.0024223533065996115,12,Higher `ai_rnd_automation_lag_after_agi_months` is associated with later agi in this simulation.
agi,secrecy_visibility_delay_months,-0.0022961443386860696,13,Higher `secrecy_visibility_delay_months` is associated with earlier agi in this simulation.
agi,deployment_governance_delay_months,-0.001910594025853778,14,Higher `deployment_governance_delay_months` is associated with earlier agi in this simulation.
agi,takeoff_lag_months,0.001888043594762148,15,Higher `takeoff_lag_months` is associated with later agi in this simulation.
internal_asi,agent_time_horizon_doubling_months,0.4457033159414441,1,Higher `agent_time_horizon_doubling_months` is associated with later internal_asi in this simulation.
internal_asi,infrastructure_friction_months,0.3714597275788114,2,Higher `infrastructure_friction_months` is associated with later internal_asi in this simulation.
internal_asi,effective_compute_growth_x_per_year,-0.3201889797483549,3,Higher `effective_compute_growth_x_per_year` is associated with earlier internal_asi in this simulation.
internal_asi,algorithmic_efficiency_x_per_year,-0.28119245748316246,4,Higher `algorithmic_efficiency_x_per_year` is associated with earlier internal_asi in this simulation.
internal_asi,current_agent_task_horizon_hours,-0.2469486391536662,5,Higher `current_agent_task_horizon_hours` is associated with earlier internal_asi in this simulation.
internal_asi,coding_automation_threshold_human_hours,0.1711004184915767,6,Higher `coding_automation_threshold_human_hours` is associated with later internal_asi in this simulation.
internal_asi,agi_integration_lag_months,0.14326014346274757,7,Higher `agi_integration_lag_months` is associated with later internal_asi in this simulation.
internal_asi,compute_governance_friction_months,0.09831941744352703,8,Higher `compute_governance_friction_months` is associated with later internal_asi in this simulation.
internal_asi,phase_overlap_coefficient,-0.09226283934326523,9,Higher `phase_overlap_coefficient` is associated with earlier internal_asi in this simulation.
internal_asi,general_capability_lag_after_coding_months,0.08943833189749474,10,Higher `general_capability_lag_after_coding_months` is associated with later internal_asi in this simulation.
internal_asi,takeoff_lag_months,0.06431865526187978,11,Higher `takeoff_lag_months` is associated with later internal_asi in this simulation.
internal_asi,superhuman_ai_researcher_lag_months,0.03525962870435545,12,Higher `superhuman_ai_researcher_lag_months` is associated with later internal_asi in this simulation.
internal_asi,ai_rnd_automation_lag_after_agi_months,0.028069393486519816,13,Higher `ai_rnd_automation_lag_after_agi_months` is associated with later internal_asi in this simulation.
